Selected,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,Default
1,1039435004,GIUSEPPE & GRAZIA PENNISI DBA,BUTTE VALLEY,CA,95965,BANK OF AMERICA NATL ASSOC,NC,531312,16295,2004,60,8,1,0,0,1,1,Y,N,16314,30502,0,P I F,0,30000,15000,0,0,0.5,0,1800,18114,0
1,1040106003,C&C FINANCIAL CORP,BURBANK,CA,91505,WELLS FARGO BANK NATL ASSOC,SD,531210,16847,2006,60,13,2,7,20,1,1,Y,N,17225,25000,0,P I F,0,25000,12500,1,0,0.5,0,1800,19025,0
1,1040115010,Richard S. Fletcher dba Richar,LIVERMORE,CA,94550,BANK OF AMERICA NATL ASSOC,NC,531210,16296,2004,84,1,1,0,0,1,1,Y,N,16314,20000,0,P I F,0,20000,10000,0,0,0.5,0,2520,18834,0
0,1041204008,"RED AND BLUE, INC.",SAN DIEGO,CA,92101,U.S. BANK NATIONAL ASSOCIATION,CA,532111,13590,1997,300,15,1,0,0,1,0,N,N,13634,1000000,0,P I F,0,1000000,750000,0,1,0.75,0,9000,22634,0
1,1045135004,DORIS JEANNE HARDER DBA HARDER,WOODLAND,CA,95695,BANK OF AMERICA NATL ASSOC,NC,531210,16306,2004,38,2,2,0,0,1,1,T,N,16314,10097,0,CHGOFF,9709,10000,5000,1,0,0.5,0,1140,17454,1
1,1046615008,"Java Enterprises, Inc dba Amer",TARZANA,CA,91356,BANK OF AMERICA NATL ASSOC,NC,532299,16307,2004,84,22,1,0,0,1,1,Y,N,16344,10000,0,P I F,0,10000,5000,0,0,0.5,0,2520,18864,0
1,1048786002,Todd Key & Alan Smiley,RIVERSIDE,CA,92507,CDC SMALL BUS. FINAN CORP,CA,531210,16848,2006,240,13,1,8,0,1,1,0,N,16994,79000,0,P I F,0,79000,79000,0,1,1,0,7200,24194,0
0,1048826001,Todd Key & Alan Smiley,RIVERSIDE,CA,92507,CDC SMALL BUS. FINAN CORP,CA,531210,16848,2006,240,13,1,8,0,1,1,0,N,16994,249000,0,P I F,0,249000,249000,0,1,1,0,7200,24194,0
1,1054835004,Carmen Hernandez and Pedro Her,PICO RIVERA,CA,90662,BANK OF AMERICA NATL ASSOC,NC,532299,16321,2004,62,2,1,0,0,1,1,T,N,16344,4999,0,CHGOFF,4999,10000,5000,0,0,0.5,0,1860,18204,1
1,1056816009,RENAISSANCE,STUDIO CITY,CA,91604,JPMORGAN CHASE BANK NATL ASSOC,NV,531210,16849,2006,84,3,2,0,3,1,2,Y,N,16860,59450,0,P I F,0,30000,15000,1,0,0.5,0,2520,19380,0
1,1063815000,California Percussion LLC,SOUTH SAN FRANCISCO,CA,94080,BANK OF AMERICA NATL ASSOC,NC,532299,16334,2004,84,3,1,0,0,1,1,Y,N,16344,25530,0,P I F,0,20000,10000,0,0,0.5,0,2520,18864,0
0,1077145001,DESERT REALTY & DEVELOPMENT CO,INGLEWOOD,CA,90305,BANK OF AMERICA NATL ASSOC,NC,531210,16350,2005,67,12,1,0,0,1,1,N,N,16375,50000,0,CHGOFF,50000,50000,25000,0,0,0.5,0,2010,18385,1
1,1086365010,Winokur & Gage Inc.,LOS GATOS,CA,95030,BANK OF AMERICA NATL ASSOC,NC,531210,16364,2005,32,5,1,0,0,1,1,T,N,16526,64000,0,P I F,16728,50000,25000,0,0,0.5,0,960,17486,0
1,1088625009,Michael L. Judson dba Linex Co,SAN RAFAEL,CA,94901,BANK OF AMERICA NATL ASSOC,NC,531210,16369,2005,84,4,1,0,0,1,1,N,N,16375,39000,0,P I F,0,10000,5000,0,0,0.5,0,2520,18895,0
0,1091405003,THE FRANK TEHAN CORPORATION,KENSINGTON,CA,94707,CAPITAL ONE NATL ASSOC,VA,532299,16371,2005,84,3,1,0,0,1,1,N,N,16405,25000,0,P I F,0,25000,12500,0,0,0.5,0,2520,18925,0
0,1092745002,Imagine Designs Inc.,MORGAN HILL,CA,95037,BANK OF AMERICA NATL ASSOC,NC,533110,16372,2005,84,2,1,0,0,1,1,Y,N,16405,32697,0,P I F,0,25000,12500,0,0,0.5,0,2520,18925,0
0,1097055006,Artur Ambarachyan dba Millenni,GLENDALE,CA,91208,BANK OF AMERICA NATL ASSOC,NC,531210,16378,2005,84,4,1,0,0,1,1,Y,N,16405,25000,0,P I F,0,25000,12500,0,0,0.5,0,2520,18925,0
1,1097615008,Eight Eight 88 Corp.,FOLSOM,CA,95630,BANK OF AMERICA NATL ASSOC,NC,531210,16379,2005,84,1,2,0,0,1,1,Y,N,16436,10000,0,P I F,0,10000,5000,1,0,0.5,0,2520,18956,0
1,1100695001,VIDEO PALACE,CHOWCHILLA,CA,93610,CAPITAL ONE NATL ASSOC,VA,532230,16384,2005,84,2,1,0,0,1,2,N,N,16405,10000,0,P I F,0,10000,5000,0,0,0.5,0,2520,18925,0
0,1101815002,"Shaky, Inc.",STUDIO CITY,CA,91604,BANK OF AMERICA NATL ASSOC,NC,531210,16385,2005,34,1,2,0,0,1,1,N,N,16467,12750,0,CHGOFF,8415,10000,5000,1,0,0.5,0,1020,17487,1
0,1105055007,"PORTFOLIO SERVICES GROUP, INC.",LAGUNA HILLS,CA,92656,CAPITAL ONE NATL ASSOC,VA,531320,16391,2005,84,1,1,0,0,1,1,N,N,16436,35000,0,P I F,0,35000,17500,0,0,0.5,0,2520,18956,0
1,1106844003,XPRESS RENT-A-CAR OF HEMET,HEMET,CA,92545,U.S. BANK NATIONAL ASSOCIATION,CA,532111,13612,1997,300,30,1,0,0,1,0,0,N,13695,150500,0,P I F,0,150500,112875,0,1,0.75,0,9000,22695,0
0,1113545001,"Boels, Inc. dba Automated Regi",FOUNTAIN VALLEY,CA,92708,CAPITAL ONE NATL ASSOC,VA,532490,16401,2005,84,8,1,0,0,1,1,N,N,16467,100000,0,P I F,0,100000,50000,0,0,0.5,0,2520,18987,0
1,1115215000,"First Step Funding, Inc. dba F",Orange,CA,92868,CAPITAL ONE NATL ASSOC,VA,531210,16405,2005,33,12,1,0,0,1,1,N,N,16436,50000,0,CHGOFF,38832,50000,25000,0,0,0.5,0,990,17426,1
1,1118365005,Premnarayan R. Soni dba Ba Ba,APPLE VALLEY,CA,92307,BANK OF AMERICA NATL ASSOC,NC,531311,16408,2005,84,3,1,0,0,1,1,Y,N,16436,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,18956,0
1,1122665004,Richard Aguilar dba Big Bounce,TULARE,CA,93274,BANK OF AMERICA NATL ASSOC,NC,532299,16413,2005,4,2,1,0,0,1,1,N,N,16436,12000,0,CHGOFF,1547,12000,6000,0,0,0.5,0,120,16556,1
0,1122875008,Patty Schwartzkopf Properties,MAMMOTH LAKES,CA,93546,BANK OF AMERICA NATL ASSOC,NC,531210,16413,2005,84,2,1,0,0,1,2,Y,N,16587,11000,0,P I F,0,11000,5500,0,0,0.5,0,2520,19107,0
0,1123945007,ROBERT S PERDUE DBA ROBERT SHE,TEMECULA,CA,92590,CAPITAL ONE NATL ASSOC,VA,531320,16414,2005,84,7,1,0,0,1,1,N,N,16436,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,18956,0
0,1127975002,ABC Enterprises of Southern Ca,ADELANTO,CA,92301,BANK OF AMERICA NATL ASSOC,NC,531390,16418,2005,56,3,1,0,0,1,1,Y,N,16467,25009,0,CHGOFF,24952,25000,12500,0,0,0.5,0,1680,18147,1
1,1130575001,Go On Enterprises Inc,APPLE VALLEY,CA,92307,BANK OF AMERICA NATL ASSOC,NC,531390,16420,2005,50,1,1,0,0,1,1,Y,N,16436,50591,0,CHGOFF,49447,50000,25000,0,0,0.5,1,1500,17936,1
0,1136545004,"Villarino Financial, Inc. dba",La Mesa,CA,91941,CALIFORNIA BANK & TRUST,CA,531210,16426,2005,84,6,1,0,0,1,1,Y,N,16436,229540,0,P I F,0,100000,50000,0,0,0.5,0,2520,18956,0
0,1137015000,Salay Bangura dba Lungi Enterp,WALNUT,CA,91789,BANK OF AMERICA NATL ASSOC,NC,531390,16426,2005,61,4,1,0,0,1,1,T,N,16436,10000,0,CHGOFF,10000,10000,5000,0,0,0.5,0,1830,18266,1
1,1137605000,"Rent 4 Less, Inc.",Fullerton,CA,92831,CALIFORNIA BANK & TRUST,CA,532112,16427,2005,42,7,1,0,0,1,1,N,N,16436,100000,0,CHGOFF,61348,100000,50000,0,0,0.5,1,1260,17696,1
0,1138035008,"Priceless Cars & Trucks Ent.,",ANAHEIM,CA,92801,CALIFORNIA BANK & TRUST,CA,532120,16427,2005,42,10,1,0,0,1,1,N,N,16436,100000,0,CHGOFF,61325,100000,50000,0,0,0.5,1,1260,17696,1
1,1153685002,"The Sonne Group Inc., dba Self",HUNTINGTON BEACH,CA,92648,BANK OF AMERICA NATL ASSOC,NC,531320,16446,2005,84,4,1,0,4,1,1,Y,N,16495,113000,0,P I F,0,50000,25000,0,0,0.5,0,2520,19015,0
1,1156185000,"MTS UNLIMITED, INC.",VISTA,CA,92083,CAPITAL ONE NATL ASSOC,VA,532299,16448,2005,84,18,1,2,18,1,1,N,N,16467,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,18987,0
1,1159915000,Westec Mortgage Inc.,RANCHO CUCAMONGA,CA,91730,BANK OF AMERICA NATL ASSOC,NC,531390,16450,2005,49,3,1,2,3,1,1,T,N,16587,69500,0,CHGOFF,50000,50000,25000,0,0,0.5,1,1470,18057,1
1,1161485001,CHENG & ASSOCIATES LLC,SAN FRANCISCO,CA,94117,CAPITAL ONE NATL ASSOC,VA,531210,16454,2005,60,2,1,0,2,1,1,N,N,16495,50000,0,CHGOFF,41691,50000,25000,0,0,0.5,0,1800,18295,1
1,1162204004,FOX'S VIDEO,CLOVIS,CA,93611,CALIFORNIA BANK & TRUST,CA,532230,13627,1997,32,6,1,0,0,1,0,0,N,13695,90000,0,CHGOFF,8469,90000,72000,0,0,0.8,0,960,14655,1
1,1162775007,Technogeeks LLC,BURBANK,CA,91505,BANK OF AMERICA NATL ASSOC,NC,531210,16457,2005,84,2,1,0,2,1,1,Y,N,17562,10000,0,P I F,0,10000,5000,0,0,0.5,0,2520,20082,0
0,1168925005,"Desert Resort Management, Inc.",Palm Desert,CA,92260,CAPITAL ONE NATL ASSOC,VA,531390,16461,2005,84,58,1,4,58,1,1,N,N,16495,100000,0,P I F,0,100000,50000,0,0,0.5,0,2520,19015,0
0,1168985001,Claudio Gonzalez dba A & A Pro,ADELANTO,CA,92301,BANK OF AMERICA NATL ASSOC,NC,531311,16461,2005,53,2,1,1,2,1,1,Y,N,16495,25000,0,CHGOFF,25000,25000,12500,0,0,0.5,0,1590,18085,1
1,1169845007,Luna Terra LLC,COTATI,CA,94931,BANK OF AMERICA NATL ASSOC,NC,531210,16461,2005,19,1,2,0,1,1,1,Y,N,16495,23282,0,CHGOFF,5897,10000,5000,1,0,0.5,0,570,17065,1
0,1173345002,Casa Grande Real Estate,SANTA ANA,CA,92701,BANK OF AMERICA NATL ASSOC,NC,531210,16463,2005,42,12,2,0,12,1,1,T,N,16495,20000,0,CHGOFF,10000,10000,5000,1,0,0.5,1,1260,17755,1
0,1176946007,CENTURY 21 GOLD DUST REALTY,GRASS VALLEY,CA,95945,GREATER SACRAMENTO CERT. DEVEL,CA,531210,16859,2006,240,13,1,6,13,15710,2,0,N,17148,229000,0,P I F,0,229000,229000,0,1,1,0,7200,24348,0
1,1177395003,"Anderson Jackson Group, Inc.",RANCHO SANTA MARGARITA,CA,92688,BANK OF AMERICA NATL ASSOC,NC,531210,16469,2005,25,2,1,2,2,1,2,N,N,16495,83500,0,CHGOFF,36562,50000,25000,0,0,0.5,0,750,17245,1
0,1177475003,"Vu-Color, Inc.",YORBA LINDA,CA,92887,BANK OF AMERICA NATL ASSOC,NC,532490,16469,2005,84,4,1,0,4,1,1,Y,N,16495,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,19015,0
0,1182995000,"BRAD T. EVANS HOLDINGS, INC.",FAIR OAKS,CA,95628,CAPITAL ONE NATL ASSOC,VA,531210,16471,2005,84,4,1,1,4,1,1,N,N,16495,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,19015,0
1,1183175003,WILLIAM B BARILLARO DBA COACH,BURBANK,CA,91502,CAPITAL ONE NATL ASSOC,VA,532120,16471,2005,28,1,1,0,1,1,1,Y,N,16587,58945,0,CHGOFF,15000,15000,7500,0,0,0.5,0,840,17427,1
1,1187995010,YOSEMITE / BASS LAKE ACTIVITIE,BASS LAKE,CA,93604,CAPITAL ONE NATL ASSOC,VA,532292,16476,2005,84,30,1,1,30,1,2,N,N,16526,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,19046,0
1,1188446007,FINE FOOD CORP,GLENDALE,CA,91221,WELLS FARGO BANK NATL ASSOC,SD,532120,16860,2006,39,3,1,1,4,1,1,Y,N,16921,116007,0,CHGOFF,40000,40000,20000,0,0,0.5,0,1170,18091,1
1,1188815004,"Just Ergonomics, Inc.",SAN CARLOS,CA,94070,BANK OF AMERICA NATL ASSOC,NC,532291,16476,2005,84,6,1,0,6,1,1,Y,N,16495,64000,0,P I F,0,50000,25000,0,0,0.5,0,2520,19015,0
0,1192835002,Chan Yop Cho,Corona,CA,92879,WILSHIRE BANK,CA,532230,16478,2005,60,2,1,0,2,1,1,N,N,16526,60000,0,P I F,0,60000,30000,0,0,0.5,0,1800,18326,0
0,1196525000,TR Benefits Insurance Services,DANVILLE,CA,94526,BANK OF AMERICA NATL ASSOC,NC,531210,16482,2005,84,4,1,0,4,1,1,Y,N,16526,58602,0,P I F,0,50000,25000,0,0,0.5,0,2520,19046,0
0,1199354007,RED CARPET VIDEO,SAN DIEGO,CA,92115,FIRST BANK,CA,532230,13648,1997,119,3,1,0,0,1,0,N,Y,13665,100000,0,P I F,0,100000,80000,0,0,0.8,0,3570,17235,0
1,1206515002,Personalized Property Manageme,BEVERLY HILLS,CA,90210,BANK OF AMERICA NATL ASSOC,NC,531312,16491,2005,84,2,1,1,2,1,1,Y,N,16526,19700,0,P I F,0,10000,5000,0,0,0.5,0,2520,19046,0
1,1207665003,"P T J Enterprise, Incorporated",INGLEWOOD,CA,90305,BANK OF AMERICA NATL ASSOC,NC,531311,16491,2005,68,4,1,0,4,1,1,T,N,16526,45018,0,CHGOFF,45000,45000,22500,0,0,0.5,0,2040,18566,1
1,1207715005,Lee & Jackson Financial Servic,CAMARILLO,CA,93010,BANK OF AMERICA NATL ASSOC,NC,531210,16491,2005,84,5,1,0,5,1,1,Y,N,16526,67597,0,P I F,0,50000,25000,0,0,0.5,0,2520,19046,0
1,1207735000,Steven Trombly Excavation Equi,CASTRO VALLEY,CA,94546,BANK OF AMERICA NATL ASSOC,NC,532412,16491,2005,18,1,1,0,1,1,1,Y,N,16617,13107,0,CHGOFF,3955,10000,5000,0,0,0.5,0,540,17157,1
0,1210706010,CENTURY 21 ALL PRO,ANAHEIM,CA,92807,CDC SMALL BUS. FINAN CORP,CA,531210,16861,2006,240,345,1,20,0,1,1,0,N,17057,568000,0,P I F,0,568000,568000,0,1,1,0,7200,24257,0
1,1216465004,WEST COAST APPRAISAL SERVICE,AGOURA HILLS,CA,91301,BANK OF AMERICA NATL ASSOC,NC,531320,16498,2005,47,7,1,0,7,1,1,N,N,16556,100000,0,CHGOFF,73426,100000,50000,0,0,0.5,1,1410,17966,1
1,1218694000,"MSK MANAGEMENT, INC.",OCEANSIDE,CA,92056,CDC SMALL BUS. FINAN CORP,CA,531110,13643,1997,240,7,1,13,7,1,0,N,N,13802,357000,0,P I F,0,357000,357000,0,1,1,0,7200,21002,0
1,1223795007,THORNTON ENTERPRISES,CHATSWORTH,CA,91311,BANK OF AMERICA NATL ASSOC,NC,531210,16504,2005,84,1,1,0,1,1,1,Y,N,16740,14900,0,P I F,0,10000,5000,0,0,0.5,0,2520,19260,0
0,1227735008,Esprit Funding,ANAHEIM,CA,92807,BANK OF AMERICA NATL ASSOC,NC,531210,16506,2005,42,4,1,0,4,1,1,N,N,16587,33500,0,CHGOFF,20953,22000,11000,0,0,0.5,1,1260,17847,1
1,1236295009,"Majkl, Inc.",San Diego,CA,92130,CAPITAL ONE NATL ASSOC,VA,531210,16513,2005,33,2,1,1,2,1,1,N,N,16556,100000,0,CHGOFF,64362,100000,50000,0,0,0.5,1,990,17546,1
1,1239985010,HANMI WORLD CORP.,LOS ANGELES,CA,90036,CAPITAL ONE NATL ASSOC,VA,532230,16517,2005,57,9,1,1,9,1,1,N,N,16556,50000,0,CHGOFF,44065,50000,25000,0,0,0.5,0,1710,18266,1
0,1241275008,"C & D Wellbeloved, Inc. DBA He",PLEASANTON,CA,94588,BANK OF AMERICA NATL ASSOC,NC,531210,16517,2005,84,1,2,0,1,37481,1,Y,N,16556,10000,0,P I F,0,10000,5000,1,0,0.5,0,2520,19076,0
1,1241335002,CENTURY 21 GREENE REALTY,NORTH HOLLYWOOD,CA,91607,BANK OF AMERICA NATL ASSOC,NC,531210,16517,2005,36,30,1,0,30,1,1,N,N,16526,10000,0,P I F,0,10000,5000,0,0,0.5,1,1080,17606,0
0,1241435008,"Los Angeles Properties, Inc. D",TORRANCE,CA,90504,BANK OF AMERICA NATL ASSOC,NC,531210,16517,2005,30,16,1,0,16,1,1,N,N,16526,81937,0,CHGOFF,48632,60000,30000,0,0,0.5,0,900,17426,1
0,1245455000,Eastlake Realty and Mortgage C,CHULA VISTA,CA,91914,BANK OF AMERICA NATL ASSOC,NC,531210,16520,2005,84,2,2,0,2,1,1,Y,N,16709,10000,0,P I F,0,10000,5000,1,0,0.5,0,2520,19229,0
0,1247315008,REYES PROPERTY MANAGEMENT GROU,SAN YSIDRO,CA,92173,CAPITAL ONE NATL ASSOC,VA,531311,16523,2005,84,4,1,2,4,1,1,N,N,16556,35000,0,P I F,0,35000,17500,0,0,0.5,0,2520,19076,0
0,1252285006,Investment Property Group,PALOS VERDES PENINSULA,CA,90274,BANK OF AMERICA NATL ASSOC,NC,531210,16526,2005,84,4,1,1,4,1,1,Y,N,16556,139892,0,P I F,0,47900,23950,0,0,0.5,0,2520,19076,0
0,1256744003,STEVEN OH AJAX RENT A CAR,LOS ANGELES,CA,90006,HANMI BANK,CA,532111,13653,1997,300,5,1,0,0,1,0,N,N,13787,504000,0,P I F,0,504000,378000,0,1,0.75,0,9000,22787,0
0,1260605006,"Parto Enterprises, Inc.",HUNTINGTON BEACH,CA,92649,BANK OF AMERICA NATL ASSOC,NC,531312,16533,2005,71,12,1,0,12,1,1,T,N,16556,50000,0,CHGOFF,49725,50000,25000,0,0,0.5,0,2130,18686,1
0,1262665006,Mercury Capital Group Inc.,SAN DIEGO,CA,92101,BANK OF AMERICA NATL ASSOC,NC,531210,16537,2005,29,18,1,0,18,1,1,Y,N,16587,50000,0,CHGOFF,50000,50000,25000,0,0,0.5,0,870,17457,1
0,1264815007,Tammy Cho dba LA Hit Video,Los Angeles,CA,90016,CALIFORNIA BANK & TRUST,CA,532230,16538,2005,73,6,1,1,6,1,1,Y,N,16556,82804,0,CHGOFF,48304,50000,25000,0,0,0.5,0,2190,18746,1
0,1266005004,New Integrity Mortgage Corpora,DOWNEY,CA,90242,BANK OF AMERICA NATL ASSOC,NC,531210,16538,2005,42,5,1,12,5,1,1,Y,N,16556,35000,0,CHGOFF,33294,35000,17500,0,0,0.5,1,1260,17816,1
0,1267495002,Kutzer Management Company Inco,SOUTH PASADENA,CA,91030,BANK OF AMERICA NATL ASSOC,NC,531312,16539,2005,84,12,1,3,12,1,1,Y,N,16556,111500,0,P I F,0,90000,45000,0,0,0.5,0,2520,19076,0
0,1269385008,"EMAX ESCROW, INC.",TEMPLE CITY,CA,91780,CAPITAL ONE NATL ASSOC,VA,531390,16544,2005,84,5,1,3,5,1,1,N,N,16556,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,19076,0
